DeltaTime,fd,OpTyp,DeltaOffset,Size,Duration
0.000630638,0,R,0,1048576,8.0265e-05
8.3422e-05,1,W,0,1048576,0.000615993
0.000624206,0,R,0,1048576,9.1912e-05
9.6422e-05,1,W,0,1048576,0.00640813
0.00643823,0,R,0,1048576,0.000123127
0.000127615,1,W,0,1048576,0.000615372
0.00062308,0,R,0,1048576,8.4252e-05
8.8667e-05,1,W,0,1048576,0.000574922
0.000581577,0,R,0,1048576,8.0244e-05
8.343e-05,1,W,0,1048576,0.000620305
0.000629019,0,R,0,1048576,8.0679e-05
8.4562e-05,1,W,0,1048576,0.00634121
0.00636177,0,R,0,1048576,8.9236e-05
9.3999e-05,1,W,0,1048576,0.000623123
0.000629492,0,R,0,1048576,8.001e-05
8.349e-05,1,W,0,1048576,0.000580143
0.000586701,0,R,0,1048576,8.0018e-05
8.3276e-05,1,W,0,1048576,0.0067862
0.00681121,0,R,0,1048576,0.000217596
0.000227854,1,W,0,1048576,0.001153
0.00116223,0,R,0,1048576,0.000188886
0.0001955,1,W,0,1048576,0.00161956
